Emotion,Description,Dialogue
guilty and alarmed,"Claudius reacts with guilt and fear, abruptly leaving the room during the play’s reenactment of King Hamlet's murder.","As the actors reenact King Hamlet’s murder, Claudius’s guilt overwhelms him and he rises abruptly from his seat, his face pale.
Claudius (speaking)  
Stop! Give me some light—away! I must leave this place.
Gertrude (speaking)  
My lord, what troubles you so deeply? Why do you look so stricken?
Claudius (speaking)  
I—I can breathe no more here. The air chokes me."
frightened and scheming,Claudius fears for his own safety and orders Hamlet to be sent to England.,"Claudius fears for his own safety and orders Hamlet to be sent to England.
Claudius (speaking) There’s madness in the boy’s eyes. He’s dangerous, and must be removed at once.
Gertrude (speaking) My lord, do you truly think exile is the answer? He is our son.
Claudius (speaking) His presence here will undo us, Gertrude. England will be safer for us all—especially me."
murderous and cunning,Claudius arranges for Hamlet to be killed in England by sending sealed orders with Rosencrantz and Guildenstern.,"Background: Claudius arranges for Hamlet to be killed in England by sending sealed orders with Rosencrantz and Guildenstern.
Claudius (speaking) The time has come. The danger Hamlet poses must be ended, and England shall serve our purpose.
Rosencrantz (speaking) You wish for us to deliver these papers directly, my lord?
Guildenstern (speaking) Is all prepared? Hamlet suspects naught?
Claudius (speaking) The letters seal his doom, and your loyalty will win you fortune. Fail me not."
calculating,Claudius convinces Laertes to plot Hamlet's death using a poisoned blade during a fencing match.,"In the private chamber, Claudius convinces Laertes to plot Hamlet's death using a poisoned blade during a fencing match.
Claudius (speaking)  
Laertes, if Hamlet comes to fence with you, would you not take the chance to strike him down? The contest itself shall hide our design.
Laertes (speaking)  
If it promises his end, I am ready. But how can we be certain the wound is fatal?
Claudius (speaking)  
Prepare your blade with a poison so deadly even a scratch will suffice. No man could survive it—Hamlet least of all."
devious,Claudius prepares a poisoned goblet as a backup plan to kill Hamlet.,"Background: Claudius prepares a poisoned goblet as a backup plan to kill Hamlet.
Claudius (speaking) The wine must look inviting, but its kiss will be death. Are you certain the poison leaves no trace?
Gertrude (speaking) I pray this is not necessary, my lord. The duel alone might suffice.
Claudius (speaking) Precaution is power, dear Gertrude. I will not leave Hamlet’s fate to chance."
worried and fearful,Claudius worries about Hamlet's behavior and plots to uncover its cause.,"Background: Claudius worries about Hamlet's behavior and plots to uncover its cause.
Claudius (speaking) Gertrude, have you seen how pale and restless Hamlet has become? His words gnaw at my mind—there is something amiss.  
Gertrude (speaking) He barely eats, hardly sleeps. I fear for him, Claudius.  
Claudius (speaking) We cannot let suspicion fester. Send for Rosencrantz and Guildenstern—I want them to find what darkness haunts him."
alarmed and guilty,Claudius reacts by leaping up and leaving during the murder scene in the play.,"During the murder scene in the play, Claudius reacts by leaping up and leaving.
Claudius (speaking) Stop! No, I cannot bear this!
Gertrude (speaking) My lord, what troubles you so deeply?
Claudius (speaking) The air chokes me! I must go—now!"
frightened and scheming,Claudius orders Hamlet to be sent to England and secretly arranges for Hamlet to be killed.,"Background: Claudius orders Hamlet to be sent to England and secretly arranges for Hamlet to be killed.
Claudius (speaking) The time is ripe. Hamlet must quit Denmark—tonight.  
Rosencrantz (speaking) My lord, we stand ready. What must we do in England?  
Claudius (speaking) Bear this sealed letter to the English king; its words command Hamlet’s death.  
Rosencrantz (speaking) Are you certain, sire? Is this... necessary?  
Claudius (speaking) He is a threat. We must act before he ruins us all."
scheming,"Claudius concocts a plan to kill Hamlet using a poisoned blade and a poisoned goblet, enlisting Laertes.","In a dimly lit chamber, Claudius concocts a plan to kill Hamlet using a poisoned blade and a poisoned goblet, enlisting Laertes.
Claudius (speaking) The time has come, Laertes. Our enemy’s end must be certain, with no hope of escape.
Laertes (speaking) Speak, my lord. How shall this deed be done, so none suspect your hand or mine?
Claudius (speaking) You will challenge Hamlet to a duel—a sporting match. Your sword’s tip will be envenomed, and should that fail, I shall have a poisoned draught ready for him."
dying and defeated,Claudius dies after being stabbed and poisoned by Hamlet.,"Background: Claudius dies after being stabbed and poisoned by Hamlet.
Claudius (speaking) The pain burns—Hamlet, have mercy, let me live!
Hamlet (speaking) No prayers can save you now, murderer—you fall by your own poison.
Gertrude (speaking) Claudius, what have you done? Why all this blood and sorrow?
Claudius (speaking) Forgive me, Gertrude. The throne, the crown—it was never worth this."
curious,Claudius agrees to spy on Hamlet in conversation with Ophelia.,"Background: Claudius agrees to spy on Hamlet in conversation with Ophelia.
Claudius (speaking)  
Ophelia, you appear troubled. What think you of Hamlet’s recent moods?
Ophelia (speaking)  
My lord, his mind is lost in shadows. I fear he confides in no one.
Claudius (speaking)  
We must know his heart's intent. Would you consent to speak with him, while I observe unseen?"
"guilty, alarmed","Claudius reacts by leaping up and leaving during the play, confirming his guilt to Hamlet and Horatio.","As the performers enact a scene eerily similar to King Hamlet’s murder, Claudius leaps up from his seat, his face betraying shock and panic.
Claudius (speaking) Stop this! No more, I command you, end this play!
Hamlet (speaking) What, frightened, my lord? You seem disturbed.
Horatio (speaking) The king looks pale, my prince. Is he feeling ill?
Claudius (speaking) I must leave, I feel unwell—make way!"
afraid,"Fearing for his own safety, Claudius orders Hamlet to be sent to England.","Fearing for his own safety, Claudius orders Hamlet to be sent to England.
Claudius (speaking) Rosencrantz, Guildenstern! Come hither quickly—I have grave orders for you. Hamlet must depart for England at once, no delay.
Rosencrantz (speaking) My lord, is it so urgent? Has Hamlet done something amiss?
Claudius (speaking) He is a danger—to himself, to us all. See that his passage is arranged, and be silent!"
scheming,Claudius sends sealed orders with Rosencrantz and Guildenstern demanding Hamlet be put to death in England.,"The background: Claudius sends sealed orders with Rosencrantz and Guildenstern demanding Hamlet be put to death in England.
Claudius (speaking)
Take these letters, Rosencrantz, and Guildenstern. Do not break the seals, under any circumstance.
Rosencrantz (speaking)
Your Majesty, we obey. May we know their contents?
Claudius (speaking)
Curiosity is no virtue in this case. Your charge is only to deliver them directly, without delay.
Guildenstern (speaking)
Our trust is absolute, my lord. Hamlet will be escorted as you command.
Claudius (speaking)
Go now, and remember: what rests in those papers ensures the survival of us all."
manipulative,Claudius convinces Laertes that Hamlet is responsible and plots with him to kill Hamlet in a fencing match.,"Background: Claudius convinces Laertes that Hamlet is responsible and plots with him to kill Hamlet in a fencing match.
Claudius (speaking)  
Laertes, your father’s blood cries out for justice. Hamlet’s hands are red—will you let him laugh at our pain?
Laertes (speaking)  
My lord, my heart burns for revenge. Show me the way, and I’ll strike him down.
Claudius (speaking)  
A friendly match, a blade unblunted—who would suspect? One scratch is all it will take; nobody will think ill of you."
