Emotion,Description,Dialogue
unaware and unfortunate,Gertrude drinks from the poisoned goblet meant for Hamlet and dies.,"As the court gathers, Gertrude unknowingly drinks from the goblet intended for her son Hamlet, which has been poisoned.
Gertrude (speaking) The wine is festive tonight, my son. Let us toast to your fortune and the spirit of the game.
Claudius (speaking) Gertrude, wait—do not drink yet. The match is not yet won.
Hamlet (speaking) Mother, your kindness warms my heart. Spare a thought for your own well-being.
Laertes (speaking) The queen honors us—what grace in her every gesture.
Gertrude (speaking) Gentlemen, I drink to Hamlet. May his aim be true and his heart untroubled.
Claudius (speaking) Sweet Gertrude, do not—I mean, perhaps wait a moment, for the cup may tire you.
Gertrude (speaking) Tush, I am hearty as ever. The wine sits strangely on my lips.
Hamlet (speaking) Is aught amiss, mother? Your face pales; you seem unsteady.
Gertrude (speaking) It is nothing, truly—though my breath catches. The room, it wavers before my eyes.
Laertes (speaking) My lady, lean upon me if you feel faint.
Gertrude (speaking) I thank you, Laertes. Yet, oh—my heart pounds so cold, my limbs are leaden as stone.
Claudius (speaking) My dear, what have you done? That wine—
Gertrude (speaking) The drink—the drink! I am poisoned."
worried,Gertrude joins Claudius in concern over Hamlet's erratic actions.,"Background: Gertrude joins Claudius in concern over Hamlet's erratic actions.
Gertrude (speaking) Claudius, have you seen the wildness in Hamlet’s eyes? He roams the halls at night, speaking to shadows as if they answer back.  
Claudius (speaking) His mind is troubled—it vexes me, Gertrude, how he mutters against unseen foes. What do you think is at the root of this madness?  
Gertrude (speaking) I scarcely know; he avoids my questions and trembles at my touch. I fear for his soul, and for us if he cannot be soothed.  
Claudius (speaking) I worry, too—if the court senses his distress, rumors will spread. Can you persuade him to confide in you, even a little?  
Gertrude (speaking) I will try, though he shrinks from me as though I am a stranger. My heart aches to see my sweet son so lost.  
Claudius (speaking) We must act, Gertrude—before his strange behaviors inspire unrest among the courtiers. Promise me you will watch him closely tonight.  
Gertrude (speaking) I promise, Claudius; I cannot bear the thought of losing him to this shadow, nor to the whispering tongues outside these walls."
"unaware, trusting","During the fencing match, Gertrude drinks from the poisoned goblet and is killed by the poison.","During the fencing match, Gertrude drinks from the poisoned goblet and is killed by the poison.
Gertrude (speaking) The heat of this match has left me terribly thirsty—let me wet my lips but for a moment.
Claudius (speaking) Sweet Gertrude, do not drink—wait, I pray thee!
Gertrude (speaking) Why, my dear lord, what troubles you? The wine is most refreshing, and the match quite fierce.
Laertes (speaking) My lady, are you well? You look pale all of a sudden.
Gertrude (speaking) Just a touch dizzy, perhaps, from all the excitement. But truly, I am quite all right.
Hamlet (speaking) Mother, your hand trembles—should I summon help?
Gertrude (speaking) No, no, my son, do not fret. Only let me sit here a moment and watch you—my heart aches for your triumph."
celebratory,Marries Claudius during the marriage celebration.,"During the marriage celebration, Gertrude marries Claudius.
Gertrude (speaking) My heart feels lighter than it has in weeks, Claudius. Take my hand, and let us begin this new chapter together.
Claudius (speaking) Your trust and love mean more than I can ever say, Gertrude. Today we unite not only two lives but two kingdoms.
Hamlet (speaking) Mother, may happiness find you, though my heart is heavy. I hope this union brings you the peace you seek.
Gertrude (speaking) Dearest Hamlet, I carry your father's memory always, but life must not stand still—come, join us in joy.
Claudius (speaking) Let us raise a toast to new beginnings—may our court flourish with revelry and hope.
Polonius (speaking) May the Queen and King guide Denmark with wisdom and grace. There is promise in their union.
Gertrude (speaking) Thank you all—friends, family, beloved son—for supporting us; tonight, let love conquer sorrow and usher in brighter days."
"flustered, guilty",Becomes extremely upset by Hamlet's veiled accusations during the play.,"During the play, Gertrude becomes extremely upset by Hamlet's veiled accusations, growing uneasy as the performance unfolds.
Gertrude (speaking) What is the meaning of this, Hamlet? Why do you look at me so?
Hamlet (speaking) The play's the thing—yet you seem pale, mother. Does the scene trouble you?
Gertrude (speaking) These actors mirror too much; their words cut me deep. Must you torment me thus, with all these stares and insinuations?
Hamlet (speaking) I but show what is, and let you judge yourself. My intentions are as clear as this play upon the stage.
Gertrude (speaking) If you seek to shame me, you wound your own blood. I cannot bear your questions—what do you suspect of me?
Hamlet (speaking) I suspect only what is plain to see, though my words are delicate for your sake.
Gertrude (speaking) Then spare me further cruelty—your tone is colder than the grave."
"angry, interrogative",Summons Hamlet to her room to berate him for his insinuations.,"Background: Gertrude has summoned Hamlet to her room to berate him for his insinuations.
Gertrude (speaking)  
Enough of this madness, Hamlet! How dare you slander me in front of the court with your riddles and accusations?
Hamlet (speaking)  
Mother, I speak only what my eyes see and my heart knows. Should I keep silent while rot festers within these walls?
Gertrude (speaking)  
Rot? You think me corrupt, you ungrateful boy? What proof have you for your venomous words?
Hamlet (speaking)  
You have married my uncle with indecent speed, turning father's grave to wedding feast. Is that not enough?
Gertrude (speaking)  
You know nothing of my grief or my choices! How dare you judge me when you drown in your own bitterness?
Hamlet (speaking)  
My bitterness is for a father betrayed and a kingdom in shadow. Why do you not see what is right before you?
Gertrude (speaking)  
Because I see a son obsessed with ghosts and whisperings, who wounds with his tongue like a madman!
Hamlet (speaking)  
It is you who refuse to hear, who turn away from truth for the comfort of lies.
Gertrude (speaking)  
Truth? You speak of truth while clutching at phantoms! I will not be the target of your madness another moment—be gone from my sight!"
"distraught, convinced",Believes Hamlet is mad as she cannot see the ghost he speaks to.,"Background: Overwhelmed with distress, Gertrude is certain Hamlet has gone mad, as she is unable to see the ghost he claims to be addressing.
Gertrude (speaking) Hamlet, to whom do you speak? There is nothing there—your eyes burn with feverish wildness!
Hamlet (speaking) Do you see nothing, nothing at all, standing by the closet door? He is here, mother, in his form as living!
Gertrude (speaking) What apparition do you chase with outstretched hands? I see no shape, hear no voice—only your frightened murmurings!
Hamlet (speaking) My father’s spirit, crowned and pale, stands before you, beseeching; oh, mother, do not turn away from what's before your very soul.
Gertrude (speaking) You torment yourself with these shadows, Hamlet—your mind is split! Dear child, what horror possesses you in this dreadful hour?
Hamlet (speaking) You cannot see him? His eyes bore through me with sorrow and command; he warns you, mother, of deeds denied and secrets kept.
Gertrude (speaking) No, Hamlet, I beg you—stop; your words chill my heart and I almost fear for our very lives!"
"tragic, mournful",Announces Ophelia's accidental drowning.,"The background: Ophelia has drowned by accident, and the news must be brought before the court.
Gertrude (speaking)  
There is a willow grows aslant a brook, that shows its hoar leaves in the glassy stream; there, on the pendent boughs her coronet weeds clamb’ring, my poor Ophelia fell. What sight I have beheld—her garments, heavy with their drink, pulled her from her song to a muddy death.
Claudius (speaking)  
What is it you say, Gertrude? Speak again—I cannot bear the shape of your words. Do you mean Ophelia is dead?
Laertes (speaking)  
O heavens! Break, heart! Has she drowned—my gentle, blooming sister, is she lost beneath those waters?
Gertrude (speaking)  
Her dress spread wide, like a mermaid’s, bore her up awhile, and she sang snatches of old tunes, as if untroubled by danger—till, at last, the water claimed her, and she sank, as still and pale as moonlight.
Horatio (speaking)  
There is no justice left in Denmark when such beauty succumbs to fate. How did this misfortune befall her—in all innocence?
Gertrude (speaking)  
It was a gentle madness led her, a sorrow too heavy for any mortal soul. She is gone, Laertes—our sweet Ophelia is drowned."
complacent,Gertrude marries Claudius soon after her husband's death.,"Shortly after her husband's death, Gertrude has married Claudius with remarkable swiftness.
Gertrude (speaking) The air tonight feels lighter, doesn’t it, Claudius? This hall is alive again at last.
Claudius (speaking) It is, my queen. We have restored order, and all eyes look to us for guidance.
Hamlet (speaking) Order, you say? Forgive me, Mother, but some things feel...disordered still.
Gertrude (speaking) Hamlet, change is the way of life. We do not dwell in sorrow, but look ahead with clear eyes and steady hearts.
Claudius (speaking) Your mother is wise, Hamlet. We must grasp happiness where we can.
Hamlet (speaking) Happiness is not so easy for everyone, I think.
Gertrude (speaking) Your father’s time is done, Hamlet. We honor his memory, but we must not be prisoners to the past."
"flustered, defensive",Gertrude is upset by Hamlet's accusations of inconstancy during the play.,"The court is tense as Hamlet has just accused Gertrude of disloyalty, and she is reeling from his heated words during the play.
Gertrude (speaking)  
Hamlet, your gaze wounds me deeper than words could ever do. Must a mother’s grief be met with such suspicion?
Hamlet (speaking)  
Mother, your haste to wed my uncle casts doubt on all you say. Can you swear your heart did not betray my father’s ghost?
Gertrude (speaking)  
You know not the burden I bear, nor the solitude I have suffered. How dare you judge what you cannot comprehend?
Hamlet (speaking)  
If you mourned truly, the bed would not be so quickly warmed. Was my father’s memory so easily erased?
Gertrude (speaking)  
I loved your father dearly, but sorrow cannot be measured in days or in tears. Not everything is as simple as you believe, Hamlet.
Hamlet (speaking)  
Then why does your soul flinch at my words? Why does your conscience tremble when truth is spoken?
Gertrude (speaking)  
Because I am still human, and humans err, Hamlet! Would you have me be made of marble and not of flesh and feeling?"
