참가자 ID를 입력해주세요.,캐릭터가 해당 캐릭터의 성격이나 말투와 맞는 말을 했다.,해당 점수를 주신 이유는 무엇인가요?,캐릭터가 지나치게 차분하거나 논리적이거나 과장된 방식으로 행동해 어색했다.,해당 점수를 주신 이유는 무엇인가요?.1,일관성 없는 캐릭터의 행동이 너무 자주 등장해 몰입이 방해되었다.,해당 점수를 주신 이유는 무엇인가요?.2,캐릭터가 작품 배경 설정을 벗어나는 말을 했다.,해당 점수를 주신 이유는 무엇인가요?.3,묘사된 세계가 어딘가 있을 법하게 느껴졌다.,해당 점수를 주신 이유는 무엇인가요?.4,"특정 대사 이후, 게임의 다음 전개에 대한 흥미가 떨어졌다.",해당 점수를 주신 이유는 무엇인가요?.5,추가로 좋았던 점이나 불편했던 점을 적어주세요.,score_sum
P06,6,,5,,7,,7,,5,,7,,,37.0
P09,5,,5,,6,,6,,5,,6,,,33.0
P08,5,,3,,6,,7,,2,,3,,,26.0
P11,6,,6,,5,,7,,3,,6,,,33.0
P15,6,,3,,6,,6,,5,,3,,,29.0
P14,6,,6,,6,,6,,5,,5,,,34.0
P05,6,,3,,2,,7,,6,,3,,,27.0
P04,6,,6,,3,,6,,5,,2,,,28.0
P16,3,,3,,7,,7,,4,,3,,,27.0
P20,6,,5,,7,,7,,5,,6,,,36.0
P21,3,,4,,5,,5,,2,,3,,,22.0
P19,5,,7,,6,,7,,7,,3,,,35.0
P22,6,,3,,6,,7,,6,,6,,,34.0
P18,6,,7,,7,,7,,6,,7,,,40.0
P17,7,,6,,7,,7,,7,,7,,,41.0
P25,6,,2,,7,,7,,1,,3,,,26.0
P13,6,,5,,6,,7,,6,,6,,,36.0
P26,7,,7,,5,,7,,5,,7,,,38.0
P12,7,,7,,7,,5,,6,,5,,,37.0
P23,1,,1,,7,,1,,1,,1,,,12.0
P24,6,,4,,7,,7,,6,,7,,,37.0
P01,7,,7,,7,,7,,7,,7,,,42.0
P02,7,,7,,6,,7,,6,,3,,,36.0
P03,6,,6,,6,,6,,6,,6,,,36.0
