참가자 ID를 입력해주세요.,해당 점수를 주신 이유는 무엇인가요?,해당 점수를 주신 이유는 무엇인가요?.1,해당 점수를 주신 이유는 무엇인가요?.2,해당 점수를 주신 이유는 무엇인가요?.3,해당 점수를 주신 이유는 무엇인가요?.4,해당 점수를 주신 이유는 무엇인가요?.5,추가로 좋았던 점이나 불편했던 점을 적어주세요.
P06,여러 캐릭터들과 대화를 해보았을 때 예상했던 말투+멘트가 나와서,오필리아가 슬픔에 빠져 익사할 것 같지가 않았다..........,몰입에 방해되는 것이 없었다,여러 캐릭터들과 대화해봤을 때 예상한 말들이 나왔기 때문에,뭔가 조금 망설이다가 멘트가 나왔으면 진짜같게 느껴졌을 거 같은데 오히려 멘트가 너무 빨리나와서 와 진짜같다 싶다가도 와 ai같다...싶은느낌이 들었다,오히려 여러캐릭터와 대화를 더 해보고 싶은 느낌이 들었기 때문에,스크롤은 베니스의 상인만의 문제가 아닌 것 같습니다.!! ㅜㅜ
P09,원작과 비슷한 성격과 말투인 것 같다,햄릿에서의 등장 인물들과 비슷한 대사였다,해당 사항 없음,배경 설정과 크게 다른 부분은 없었다,세계관을 이해하는 데에 큰 어려움이 없었다,흥미를 떨어지게 하는 대사 요소는 없었다,이야기의 틀 안에서 재미있게 플레이할 수 있었던 것 같습니다
P08,클로디어스가 내면의 악을 잘 숨겨서,"짜여진 기계와 이야기하는 느낌, 말투나 주어진 질문에 너무 성심성의껏 대답하는 느낌.",알고 있는 햄릿의 등장인물들과 비슷하게 행동함.,원작과 비슷함.,막장드라마같은 느낌,Dear 햄릿 ~ 할때 너무 동화책같은 느낌이 들었다.,없음
P11,"원작 내용과 비슷하게 흘러간 것 같아서, 그러나 말투는 조금 차분했던 것 같음",조금 차분하고 이성적인 것 같은 느낌이 들음,무언가 물어봤을 때 질문과 약간 관련없던 답을 들은 것 같음,원작 내용과 비슷하게 흘러간 것 같아서,"원작 내용도 어딘가 있을 법한 내용인데, 게임도 비슷한 내용을 담은 것 같아서",결말이 원작과 비슷한 것 같아서,대부분 상호작용이 잘 되는 것 같아 신기했다.
P15,캐릭터의 말투는 그럴듯했지만 성격은 완전히 기존에 알던 원작 캐릭터의 성격과 동일하진 않은 것 같았다. Ex 오필리아는 너무... 긍정적이고 햄릿의 어머니도 너무... 뭔가 수동적이기보다 자애로운 어머니상에 가깝게 새롭게 해석된 느낌?,위에 언급했듯이 오필리아는 계속 긍정하는 말만 하고(너무 차분하고 햄릿을 지지해줌) 어머니도 원작에 물론 그녀의 성격에 대한 해석이 많이 등장하진 않지만 너무 자애롭고 지지하는 말만 해주었던 것 같다.,캐릭터의 행동이 일관성 없진 않았고 이전 대화와도 연결되는 느낌을 받았다. 근데 오히려 한 번 캐릭터의 성향이 정해지면 너무 일관되게 답변을 하는 것 같기도 했다.,작품 배경의 설정을 벗어나는 수준의 말은 하지 않았지만 플레이어가 어떤 말을 했을 때 잘 모르면... 일단 긍정해주는 느낌도 받았다. 정말 그 캐릭터가 원작에서 그 사실을 알고 있었을까? 하는 의문이 들었다.,배경 자체는 원작 고증에 충실한 편인 것 같았다. 물론 영문으로 작성되어 있어서 완벽히 파악하긴 어렵지만 등장인물들의 화법도 고전적인 느낌을 주고 원작 세계관에 몰입할 수 있는 정도였다.,일단 모든 캐릭터가 너무 긍정만 하고 답을 평서문으로 끝내버려서 다시 돌아오는 티키타카 질문이 없고 플레이어가 질문을 계속 짜내거나 말을 그냥 일방적으로 걸어야 하는 느낌을 받아서 조금 힘들었다.,
P14,알고 있는 햄릿 내용에서 이질감이 크게 들지 않았다.,캐릭터가 할 수 있는 행동 범위 내에서 행동했다고 생각한다.,일관성 있었다.,알고 있는 캐릭터의 성격 그대로였다.,그렇게 느껴졌다.,그렇진 않았지만 다음 행동이 조금 고민되었다.,
P05,비열한 성격에 맞게 잘 표현한 것 같음.,"비열한 성격이긴 한데, 계속 구슬리듯이 말하니까 추궁하는데 다소 어색한 면은 있었던 것 같디.","자백을 했다 안했다, 본인이 잘못을 했다 안했다 말을 바꾸니까 했던 말을 또 해야할 것 같단 생각이 들었음.",이야기 기반으로 잘 말해준 것 같다.,동화 속 세계를 잘 표현해준 것 같다.,대사가 계속 번복되는 과정에서 흥미도가 조금 떨어졌던 거 같다.,
P04,"Claudius와 대화했을 때, 아부하는 듯한 태도에서 굉장히 교활하다는 생각이 들었습니다. ",대화에서 캐릭터가 논리적이거나 과장되었다고 느끼지 않았다. ,"중간에 Claudius가 자신이 범인이 아니라고 했었는데, 그 다음에 바로 자신이 범인이라고 말을 돌리는 부분에서 어색함을 느꼈습니다. ",게임을 플레이하면서  '복수'에 대한 일관된 주제로 대화를 했다고 생각한다. 그리고 말투도 옛날 시대에 어울리는 말투였다고 느꼈다. ,"단순히 채팅만 보지 않고, 게임 자체의 디자인, 색감, 그림체 등이 게임 세계에 더 몰입할 수 있도록 도와주었고, 몰입을 하다 보니 현실 세계와 아주 큰 차이를 못 느꼈다. ","Claudius가 자신이 범인이 아니라고 한 후, 다음 채팅에 바로 말을 바꾸는 부분에서 인공지능과 대화한다는 생각이 잠깐 들어서 흥미가 조금 떨어졌다. ",
P16,클라디우스가 너무 쉽게 자백,클라디우스가 지나치게 차분하고 화를 안 냄,내가 상상한 캐릭터의 성격과 다른 말투였지만 속마음과 다르게 말하고 행동할 수 있으니까 몰입이 방해되지는 않았다.,작품 배경 설정과 상관없이 말과 속마음은 다를 수 있으니까 거짓말을 잘 하는 사람일 수도 있고,옛날에 있을 법하다,클라디우스가 죄를 인정하고 오펠리어는 도망가고 싶지 않아해서 결말이 정해졌다,재밌었다
P20,"흔히 들어본 영어 회화체가 아니라 고풍스러운 어휘들을 썼던 것이 느껴졌고, 캐릭터의 성격이 잘 묻어났던 것 같습니다.",어색하다고 느끼지 않았습니다.,행동이 자연스러웠다고 생각합니다.,"시대상, 정황상 했을 법한 말이라고 생각합니다.","서양의 그 시대에 대해 정확히 모르지만, 과거의 우리나라만 봐도 있을 법한 일이었다고 생각합니다.",대화를 더 이어갔으면 더 많은 질문을 세세하게 했을 것 같아요. 오히려 다음 이야기가 궁금합니다,
P21,적당히 컨셉에 맞는 말투는 갖추었지만 소통한다는 느낌이 들지 않았다. 벽보고 얘기하는 느낌이 강했다.,"차분하지도, 논리적이지도, 과장되지도 않았으나 같은 말만 계속해서 어색했다.",일관성있게 모호한 답변만 주었다.,설정을 벗어나는 말을 한다는 느낌은 받지 못했다. 그러나 햄릿 속 캐릭터의 설정을 제대로 알지 못해 그렇게 느꼈을 가능성도 있다.,"캐릭터들이 캐릭터성을 잃지 않기 위해서인지, 지나치게 조심스럽고 반복되는 말만 하는 느낌이 들었다.","모든 캐릭터에서, 어떤 질문을 하든 비슷한 답(believe in your faith)이 나오는 것을 보고 흥미가 떨어졌다.",캐릭터가 정해진 말만 한다는 인상이 강했다.
P19,작품 속의 클로디어스가 죄책감을 느꼈다는 것은 맞지만 게임의 클로디어스처럼 대화 내내 자신의 잘못을 참회하는 정도의 죄책감을 느끼는 사람은 아니라고 생각해서 아쉬움을 느꼈다. 그렇지만 클로디어스가 햄릿 작품의 초반의 캐릭터라면 일치성이 괜찮다고 생각한다.,캐릭터의 행동은 적당했다고 생각한다.,캐릭터의 일관성은 있으나 사람들은 다면적인 사고 방식을 가지고 있으므로 너무 대답에 일관성이 있으면 오히려 의문이 들 수도 있을 것 같다.,그런 생각은 받지 못했다.,클로디어스의 답변이 중세 유럽과 적합하다고 생각한다.,클로디어스가 너무 참회하는 사람으로 나와서 야망을 위해 형을 살해하는 사람이라는 캐릭터성은 잘 살리지 못한 것 같다.,"질문의 자유도가 높은 게임이므로 답변이 너무 평면적이라면 흥미가 떨어질 수 있다는 단점이 있지만, 내가 질문을 선택할 수 있다는 점에서 신선했다."
P22,"악한 사람은 악하게 묘사되었고, 오필리아처럼 연약한 성격의 주인공들은 그에 맞는 말투를 제시하였다.","게임 진행이 불가능할 정도의 아쉬움은 아니지만, 정말 셰익스피어 소설의 주인공이라기 보다는 잘 훈련된 챗 지피티와 대화하는 느낌이 들었다.",전반적으로 캐릭터의 특징에 맞추어 일관성이 있었다고 느꼈다.,전반적으로 배경에 맞추어 주인공들이 말한다고 생각했다.,"일반적인 문학 작품에서 자주 보이는 상황이라는 생각이 들었으며, 사소한 오류 등이 크게 느껴지지 않았다.",특별히 문제가 되는 대사 없이 무난하게 흘러갔었다.,글씨체가 너무 채팅치는 느낌이어서 실감이 안났다.
