참가자 ID를 입력해주세요.,해당 점수를 주신 이유는 무엇인가요?,해당 점수를 주신 이유는 무엇인가요?.1,해당 점수를 주신 이유는 무엇인가요?.2,해당 점수를 주신 이유는 무엇인가요?.3,해당 점수를 주신 이유는 무엇인가요?.4,해당 점수를 주신 이유는 무엇인가요?.5,추가로 좋았던 점이나 불편했던 점을 적어주세요
P06,대부분 다 맞는 말이라서 .. ?,이건 저도 잘 모르겠습니다 ..,번호로 나열해서 내용을 작성해주는데 좀 너무 갑자기 많은 글들이 들어오는 느낌이 들었다 (첫번째 파트) 근데 이걸 두 번이나 연속으로 봐서 ..,그냥 내가 하고 싶은 말을 했어서 딱히 방해되는 부분은 없었던 것 같음,아까도 말했듯이 파트1에서 조금 과장된 느낌 (너무 많이 글이 나오는 게),한 5번?6번?문항 넘어가고 나서는 딱히 할 말이 없어서 thanks (?)같은 말을 하고 끝냈다,내용이 길면 스크롤로 잘 안 내려가는 것 같아요 (근데 제 문제일 수도..)
P09,스토리에 등장하는 인물이 할 법한 이야기들을 한 것 같다,피상적이긴 하지만 모순되는 내용은 없었다.,"원작에서의 샤일록은 타협하지 않는데 이 게임에서는 입력하는 내용에 따라 타협할 수 도 있다",해당사항 없음,스토리에 관련된 내용이어서 방해되지 않았다,게임에 대한 흥미와는 무관하다,기존에 알던 내용과 색다른 결말 또는 대사를 볼 수 있어서 신선했습니다
P08,"계속해서 정의만을 이야기해, 같은 말을 반복하는 느낌이 들었다.","샤일록 캐릭터와 채팅을 대부분 했는데 모순적인지는 모르겠음.",캐릭터와 대화하는 느낌인 줄 알았는데 기계와 대화하는 느낌 이었다.,잘모르겠다.,감정적 몰입을 할만한 티키타카가 이루어지진 않았기 때문이다.,없음.,줄거리가 자세히 기억나지 않아 어떤 것을 질문해야하는지 몰랐다. 가이드라인이 있으면 좋을 것 같다.
P11,비슷한 질문을 했을 때 대답이 일관적이었음,비슷한 질문을 했을 때 대답이 일관적이었음,특유의 정해진 답을 하는 것 같은 행동은 보였지만 크게 어색하진 않았음,부조리한 행동이 자주 등장한다고 느끼지 않음,관련성이 적은 질문을 했을 때 대답이 뜬금없던 느낌이 약간 있던 것 같음,예상이 약간 가는 전개였음,어떤 질문을 해도 상호작용이 되는 것이 신기했음
P15,모든 캐릭터가 질문에 대해 논리적으로 맞는 답변을 하긴 했지만 비슷한 답변이 반복되는 느낌도 있었다.,자기모순적인 말을 하기보다 플레이어와의 소통을 통해 기존의 의견을 뒤바꾼듯한 모습을 보이긴 했다. 그러나 한 대답 안에서 모순되는 말을 하거나 오류를 범하진 않았다.,재판관이 너무 베니스의 상인에 나오는 재판관이라기보다 그냥 어떤 소설에도 엑스트라로 나올 수 있는 재판관처럼 지나치게 절제된 정보만을 답변해서 영양가 있는 대화라는 생각이 들지 않았고 어색했다.,원작에서 너무 잔혹하다고 여겨졌던 캐릭터도 게임에서는 조금 더 유하고 또 처음에는 화가 나있었더라도 플레이어와의 소통을 통해 긍정적으로 답변이 변화하는 모습을 보여서 오히려 원작보다 더 부조리한 캐릭터가 없었던 것 같다.,몰입을 방해하는 대사는 없었다. 그러나 대화 내에서 대답이 대체로 겹치거나 비슷하다는 느낌을 받았다.,캐릭터가 플레이어의 설득에 따라 점점 긍정적인 답변을 주는 등 플레이어와의 소통을 반영하는 것이 느껴져 대화를 계속 이어나가고 싶다는 느낌이 들었다.,
P14,성격에 맞는 답변이었다.,그렇지는 않았다.,자연스럽게 느껴졌다.,고집이 너무 세서 답답하긴 했다.,몰입되었다.,다음 답변이 기대되었다.,
P05,각자의 입장에서 각자의 관심사나 우선시하는 걸 잘 말해준 거 같다.,자신의 직위에 맞게 본분에 맞게 이야기해준 거 같다.,어색함 없이 잘 이야기해주어서,"샤일록의 입장도 이해가 가고 셋의 입장 모두가 이해가 가서 몰입에 방해가 된 점은 없었다",캐릭터 대사가 부자연스럽지 않고 캐릭터에 맞는 말을 잘 해주었다.,동화를 재미있게 본 느낌이어서 좋았다. ai라고 말한 점도 크게 몰입을 깨지 않고 잘 연결되는 느낌이었다.,
P04,"제 채팅에 오타가 섞여있었음에도 불구하고, 맥락에 맞는 답변을 받았습니다. ",각각의 인물의 성격을 정확히 몰라 판단할 수 없었습니다 ,"채팅으로 진행하다 보니 그 캐릭터의 표정을 확인할 수 없었습니다. 또한  채팅 내용에서 느낌표나 이모티콘과 같은 표현이 없다 보니 감정 상태를 확인할 수 없어서 조금 어색함을 느꼈습니다. ",몰입이 방해되지 않았습니다. 오히려 게임은 부조리한 캐릭터가 자주 등장해야 몰입감이 향상된다고 생각합니다. ,제 채팅에 알맞는 답변을 답했기 때문입니다 ,흥미가 떨어질 만한 대사는 없었습니다. 하지만 전반적인 대사의 톤이 차분하다고 느껴서서 사람이 아닌 인공지능과 대화하는 느낌을 받았습니다. ,
P16,다들 자기의 역할에 맞는 논리적 말을 했고 협상의 동의했다.,자기모순적인 말을 하지 않고 일관성이 있었다.,셜록이 협상에 호의적인 것이 지나치게 차분해보였다.,부조리한 캐릭터는 없다,협상에 호의적이어서 긴장이 되지는 않았다.,협상에 열린 마인드라서 어떤 협상을 해야할지만 생각하고 다음 전개는 생각하지 않았다.,셜록 말고 다른 캐릭터에게 뭐라고 질문해야할지 잘 모르겠다
