ID,game_frequency,game_genre,simul_exp,AIgame_exp,AIgame_sample,shakespeare,hamlet_approach,hamlet_understanding,venice_approach,venice_understanding,LLM,LLM_exp,LLM_model,LLM_frequency,LLM_understanding,hallucination,hallu_exp,LLM_agent
P01,가끔(월 1~2회),"시뮬레이션, 퍼즐/보드, 액션/슈팅",예,아니오,유로트럭,예,원작 희곡 또는 번역본을 읽음,작품의 이름과 대략적인 배경만 알고 있음,원작 희곡 또는 번역본을 읽음,작품의 이름과 대략적인 배경만 알고 있음,예,예,chatGPT,자주(주 3회 이상),대략적인 작동 방식 이해함,대략적인 원리 이해함,자주 경험함,아니오
P02,자주(주 3회 이상),"퍼즐/보드, 액션/슈팅",예,예, 일진에게 찍혔을 때,예,인터넷/미디어를 통해 간접적으로만 알고 있음,작품의 이름과 대략적인 배경만 알고 있음,"원작 희곡 또는 번역본을 읽음, 학교 수업 등 교육 과정",주요 인물과 줄거리를 대략적으로 알고 있음,예,예,"ChatGPT, Gemini",보통(주 1~2회),전혀 모름,이름과 개념만 들어봄,가끔 경험함,아니오
P03,자주(주 3회 이상),"퍼즐/보드, 기타",아니오,아니오,아니오,예,연극/영화/드라마로 감상,작품의 이름과 대략적인 배경만 알고 있음,학교 수업 등 교육 과정,주요 인물과 줄거리를 대략적으로 알고 있음,예,예,"Chatgpt, perplexity, notebooklm",자주(주 3회 이상),대략적인 작동 방식 이해함,대략적인 원리 이해함,자주 경험함,예
P04,거의 하지 않음,"시뮬레이션, 퍼즐/보드",예,아니오,기억 안 남,예,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,"요약/해설 자료를 읽음, 학교 수업 등 교육 과정",작품의 이름과 대략적인 배경만 알고 있음,예,예,ChatGPT,보통(주 1~2회),이름과 개념만 들어봄,이름과 개념만 들어봄,자주 경험함,아니오
P05,거의 하지 않음,"시뮬레이션, 롤플레잉(RPG), 액션/슈팅",예,예,"배틀그라운드, 심즈,",아니오,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,예,예,"chat gpt,gemini,grok3,perplexity",자주(주 3회 이상),대략적인 작동 방식 이해함,이름과 개념만 들어봄,가끔 경험함,아니오
P06,자주(주 3회 이상),"롤플레잉(RPG), 액션/슈팅",예,예,Ea fc,예,"원작 희곡 또는 번역본을 읽음, 요약/해설 자료를 읽음, 연극/영화/드라마로 감상, 학교 수업 등 교육 과정",주요 인물과 줄거리를 대략적으로 알고 있음,요약/해설 자료를 읽음,작품의 이름과 대략적인 배경만 알고 있음,예,아니오,,거의 쓰지 않음,이름과 개념만 들어봄,이름과 개념만 들어봄,자주 경험함,예
P07,자주(주 3회 이상),"시뮬레이션, 퍼즐/보드, 액션/슈팅, 기타",예,예,모여봐요 동물의 숲,예,원작 희곡 또는 번역본을 읽음,작품의 이름과 대략적인 배경만 알고 있음,원작 희곡 또는 번역본을 읽음,주요 인물과 줄거리를 대략적으로 알고 있음,예,예,ChatGPT,보통(주 1~2회),이름과 개념만 들어봄,이름과 개념만 들어봄,가끔 경험함,아니오
P08,가끔(월 1~2회),"롤플레잉(RPG), 퍼즐/보드",예,예,디트로이트비컴휴먼,예,"연극/영화/드라마로 감상, 학교 수업 등 교육 과정",작품의 이름과 대략적인 배경만 알고 있음,학교 수업 등 교육 과정,작품의 이름과 대략적인 배경만 알고 있음,예,예,"챗지피티, 코파일럿",자주(주 3회 이상),대략적인 작동 방식 이해함,대략적인 원리 이해함,가끔 경험함,예
P09,보통(주 1~2회),"퍼즐/보드, 액션/슈팅",아니오,아니오,"클오클, 테런, 롤",예,"원작 희곡 또는 번역본을 읽음, 요약/해설 자료를 읽음, 연극/영화/드라마로 감상",작품의 이름과 대략적인 배경만 알고 있음,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,예,예,지피티,보통(주 1~2회),대략적인 작동 방식 이해함,세부적인 원리까지 이해함,가끔 경험함,예
P10,거의 하지 않음,퍼즐/보드,아니오,아니오,아니오,아니오,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,예,예,Perplexity,자주(주 3회 이상),이름과 개념만 들어봄,이름과 개념만 들어봄,자주 경험함,아니오
P11,자주(주 3회 이상),"시뮬레이션, 롤플레잉(RPG), 액션/슈팅",예,아니오,스타듀 밸리,예,학교 수업 등 교육 과정,작품의 이름과 대략적인 배경만 알고 있음,인터넷/미디어를 통해 간접적으로만 알고 있음,작품의 이름과 대략적인 배경만 알고 있음,예,예,Claude,보통(주 1~2회),대략적인 작동 방식 이해함,이름과 개념만 들어봄,가끔 경험함,예
P12,가끔(월 1~2회),기타,예,예,"포켓몬스터, 동물의숲",예,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,예,예,ChatGPT,보통(주 1~2회),전혀 모름,대략적인 원리 이해함,자주 경험함,아니오
P13,거의 하지 않음,퍼즐/보드,아니오,아니오,.,예,"요약/해설 자료를 읽음, 연극/영화/드라마로 감상",주요 인물과 줄거리를 대략적으로 알고 있음,인터넷/미디어를 통해 간접적으로만 알고 있음,작품의 이름과 대략적인 배경만 알고 있음,예,예,"chatGPT, Gemini",가끔(월 1~2회),이름과 개념만 들어봄,이름과 개념만 들어봄,가끔 경험함,아니오
P14,보통(주 1~2회),"시뮬레이션, 롤플레잉(RPG), 퍼즐/보드, 액션/슈팅, 기타",예,예,스타듀밸리,예,"원작 희곡 또는 번역본을 읽음, 연극/영화/드라마로 감상, 학교 수업 등 교육 과정",세부적인 내용까지 잘 알고 있음,"원작 희곡 또는 번역본을 읽음, 연극/영화/드라마로 감상, 학교 수업 등 교육 과정",세부적인 내용까지 잘 알고 있음,예,예,ChatGPT,자주(주 3회 이상),이름과 개념만 들어봄,이름과 개념만 들어봄,자주 경험함,아니오
P15,가끔(월 1~2회),"시뮬레이션, 롤플레잉(RPG), 퍼즐/보드, 인터랙티브 소설/비주얼 노벨",예,아니오,없음,예,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,예,예,Chat gpt,자주(주 3회 이상),전혀 모름,전혀 모름,전혀 없음,아니오
P16,자주(주 3회 이상),"롤플레잉(RPG), 액션/슈팅",아니오,아니오,.,예,학교 수업 등 교육 과정,작품의 이름과 대략적인 배경만 알고 있음,인터넷/미디어를 통해 간접적으로만 알고 있음,전혀 모름,예,예,"쳇 지피티, 지미니, 퍼플렉시티",보통(주 1~2회),대략적인 작동 방식 이해함,대략적인 원리 이해함,자주 경험함,예
P17,자주(주 3회 이상),"시뮬레이션, 롤플레잉(RPG), 액션/슈팅, 기타",예,예,심즈,예,"학교 수업 등 교육 과정, 인터넷/미디어를 통해 간접적으로만 알고 있음",작품의 이름과 대략적인 배경만 알고 있음,"요약/해설 자료를 읽음, 학교 수업 등 교육 과정",작품의 이름과 대략적인 배경만 알고 있음,예,예,CharGPT,자주(주 3회 이상),대략적인 작동 방식 이해함,이름과 개념만 들어봄,자주 경험함,예
