ID,game_frequency,game_genre,simul_exp,AIgame_exp,AIgame_sample,shakespeare,hamlet_approach,hamlet_understanding,venice_approach,venice_understanding,LLM,LLM_exp,LLM_model,LLM_frequency,LLM_understanding,hallucination,hallu_exp,LLM_agent
P01,1,"시뮬레이션, 퍼즐/보드, 액션/슈팅",1,0,유로트럭,1,3.0,1,3.0,1,1,1,chatGPT,3.0,1.0,2.0,2,0
P02,3,"퍼즐/보드, 액션/슈팅",1,1, 일진에게 찍혔을 때,1,1.0,1,4.5,2,1,1,"ChatGPT, Gemini",2.0,0.0,0.5,1,0
P03,3,"퍼즐/보드, 기타",0,0,아니오,1,2.0,1,1.5,2,1,1,"Chatgpt, perplexity, notebooklm",3.0,1.0,2.0,2,1
P04,0,"시뮬레이션, 퍼즐/보드",1,0,기억 안 남,1,1.0,0,3.5,1,1,1,ChatGPT,2.0,0.5,0.5,2,0
P05,0,"시뮬레이션, 롤플레잉(RPG), 액션/슈팅",1,1,"배틀그라운드, 심즈,",0,1.0,0,1.0,0,1,1,"chat gpt,gemini,grok3,perplexity",3.0,1.0,0.5,1,0
P06,3,"롤플레잉(RPG), 액션/슈팅",1,1,Ea fc,1,8.5,2,2.0,1,1,0,,,0.5,0.5,2,1
P07,3,"시뮬레이션, 퍼즐/보드, 액션/슈팅, 기타",1,1,모여봐요 동물의 숲,1,3.0,1,3.0,2,1,1,ChatGPT,2.0,0.5,0.5,1,0
P08,1,"롤플레잉(RPG), 퍼즐/보드",1,1,디트로이트비컴휴먼,1,3.5,1,1.5,1,1,1,"챗지피티, 코파일럿",3.0,1.0,2.0,1,1
P09,2,"퍼즐/보드, 액션/슈팅",0,0,"클오클, 테런, 롤",1,7.0,1,1.0,0,1,1,지피티,2.0,1.0,3.0,1,1
P10,0,퍼즐/보드,0,0,아니오,0,1.0,0,1.0,0,1,1,Perplexity,3.0,0.5,0.5,2,0
P11,3,"시뮬레이션, 롤플레잉(RPG), 액션/슈팅",1,0,스타듀 밸리,1,1.5,1,1.0,1,1,1,Claude,2.0,1.0,0.5,1,1
P12,1,기타,1,1,"포켓몬스터, 동물의숲",1,1.0,0,1.0,0,1,1,ChatGPT,2.0,0.0,2.0,2,0
P13,0,퍼즐/보드,0,0,.,1,4.0,2,1.0,1,1,1,"chatGPT, Gemini",1.0,0.5,0.5,1,0
P14,2,"시뮬레이션, 롤플레잉(RPG), 퍼즐/보드, 액션/슈팅, 기타",1,1,스타듀밸리,1,6.5,3,6.5,3,1,1,ChatGPT,3.0,0.5,0.5,2,0
P15,1,"시뮬레이션, 롤플레잉(RPG), 퍼즐/보드, 인터랙티브 소설/비주얼 노벨",1,0,없음,1,1.0,0,1.0,0,1,1,Chat gpt,3.0,0.0,0.0,0,0
P16,3,"롤플레잉(RPG), 액션/슈팅",0,0,.,1,1.5,1,1.0,0,1,1,"쳇 지피티, 지미니, 퍼플렉시티",2.0,1.0,2.0,2,1
P17,3,"시뮬레이션, 롤플레잉(RPG), 액션/슈팅, 기타",1,1,심즈,1,2.5,1,3.5,1,1,1,CharGPT,3.0,1.0,0.5,2,1
P18,3,"시뮬레이션, 액션/슈팅",1,1,심즈,1,1.0,0,1.5,2,1,1,chat gpt,3.0,0.5,0.5,1,0
P19,3,기타,1,0,포켓몬고..?,1,1.0,0,1.0,0,1,1,"챗지피티, 제미나이",3.0,1.0,0.5,1,0
P20,3,"퍼즐/보드, 액션/슈팅",0,0,.,1,1.0,1,1.5,2,1,1,Chargpt,2.0,0.0,0.0,1,0
P21,1,시뮬레이션,1,1,피크민,1,1.0,0,1.0,0,1,1,ChatGPT,3.0,0.0,0.5,2,0
P22,1,"롤플레잉(RPG), 퍼즐/보드",0,1,두근두근 문예부,1,3.5,1,3.5,1,1,1,Chat-GPT,1.0,1.0,2.0,2,1
P23,1,"시뮬레이션, 롤플레잉(RPG)",1,1,림월드,1,3.0,0,1.5,1,1,1,"Germini, ChatGPT",3.0,1.0,2.0,2,1
P24,3,"시뮬레이션, 롤플레잉(RPG), 퍼즐/보드, 액션/슈팅",1,0,없음.,1,2.5,2,1.0,2,1,1,chat GPT,2.0,0.5,0.5,1,0
P25,1,"롤플레잉(RPG), 퍼즐/보드",1,0,모르겠음,1,4.5,3,1.5,2,1,1,"챗지피티, 뤼튼",3.0,1.0,0.5,1,0
P26,0,"시뮬레이션, 퍼즐/보드, 인터랙티브 소설/비주얼 노벨",1,1,스타듀밸리,1,3.5,1,1.0,0,1,1,chatGPT,3.0,0.5,0.5,2,0
